	chr	pos	lod
ScyDAA6-2-HRSCAF-26:1738484	ScyDAA6-2-HRSCAF-26	1.738484	0.015360611
ScyDAA6-2-HRSCAF-26:1759035	ScyDAA6-2-HRSCAF-26	1.759035	0.015127816
ScyDAA6-2-HRSCAF-26:1779712	ScyDAA6-2-HRSCAF-26	1.779712	0.015024346
ScyDAA6-2-HRSCAF-26:1800177	ScyDAA6-2-HRSCAF-26	1.800177	0.014921922
ScyDAA6-2-HRSCAF-26:1820382	ScyDAA6-2-HRSCAF-26	1.820382	0.014757071
ScyDAA6-2-HRSCAF-26:1840561	ScyDAA6-2-HRSCAF-26	1.840561	0.014593452
ScyDAA6-2-HRSCAF-26:1860635	ScyDAA6-2-HRSCAF-26	1.860635	0.01762711
ScyDAA6-2-HRSCAF-26:1881037	ScyDAA6-2-HRSCAF-26	1.881037	0.021154483
ScyDAA6-2-HRSCAF-26:1902968	ScyDAA6-2-HRSCAF-26	1.902968	0.02544516
ScyDAA6-2-HRSCAF-26:1923031	ScyDAA6-2-HRSCAF-26	1.923031	0.029822457
ScyDAA6-2-HRSCAF-26:1944972	ScyDAA6-2-HRSCAF-26	1.944972	0.035102596
ScyDAA6-2-HRSCAF-26:1965346	ScyDAA6-2-HRSCAF-26	1.965346	0.040465234
ScyDAA6-2-HRSCAF-26:1985524	ScyDAA6-2-HRSCAF-26	1.985524	0.046210494
ScyDAA6-2-HRSCAF-26:2005974	ScyDAA6-2-HRSCAF-26	2.005974	0.052471697
ScyDAA6-2-HRSCAF-26:2027150	ScyDAA6-2-HRSCAF-26	2.02715	0.059417661
ScyDAA6-2-HRSCAF-26:2049679	ScyDAA6-2-HRSCAF-26	2.049679	0.072668786
ScyDAA6-2-HRSCAF-26:2070634	ScyDAA6-2-HRSCAF-26	2.070634	0.115559311
ScyDAA6-2-HRSCAF-26:2094140	ScyDAA6-2-HRSCAF-26	2.09414	0.125885782
ScyDAA6-2-HRSCAF-26:2120044	ScyDAA6-2-HRSCAF-26	2.120044	0.137904359
ScyDAA6-2-HRSCAF-26:2141568	ScyDAA6-2-HRSCAF-26	2.141568	0.148395551
ScyDAA6-2-HRSCAF-26:2163122	ScyDAA6-2-HRSCAF-26	2.163122	0.138701448
ScyDAA6-2-HRSCAF-26:2183375	ScyDAA6-2-HRSCAF-26	2.183375	0.129014199
ScyDAA6-2-HRSCAF-26:2207345	ScyDAA6-2-HRSCAF-26	2.207345	0.137798214
ScyDAA6-2-HRSCAF-26:2227554	ScyDAA6-2-HRSCAF-26	2.227554	0.148754578
ScyDAA6-2-HRSCAF-26:2250730	ScyDAA6-2-HRSCAF-26	2.25073	0.161798864
ScyDAA6-2-HRSCAF-26:2270770	ScyDAA6-2-HRSCAF-26	2.27077	0.184403596
ScyDAA6-2-HRSCAF-26:2291155	ScyDAA6-2-HRSCAF-26	2.291155	0.209074166
ScyDAA6-2-HRSCAF-26:2311213	ScyDAA6-2-HRSCAF-26	2.311213	0.233817162
ScyDAA6-2-HRSCAF-26:2331251	ScyDAA6-2-HRSCAF-26	2.331251	0.258638586
ScyDAA6-2-HRSCAF-26:2351304	ScyDAA6-2-HRSCAF-26	2.351304	0.274324892
ScyDAA6-2-HRSCAF-26:2371586	ScyDAA6-2-HRSCAF-26	2.371586	0.290612639
ScyDAA6-2-HRSCAF-26:2398217	ScyDAA6-2-HRSCAF-26	2.398217	0.312632688
ScyDAA6-2-HRSCAF-26:2419163	ScyDAA6-2-HRSCAF-26	2.419163	0.313050334
ScyDAA6-2-HRSCAF-26:2439317	ScyDAA6-2-HRSCAF-26	2.439317	0.313447892
ScyDAA6-2-HRSCAF-26:2459734	ScyDAA6-2-HRSCAF-26	2.459734	0.315722698
ScyDAA6-2-HRSCAF-26:2480026	ScyDAA6-2-HRSCAF-26	2.480026	0.317986692
ScyDAA6-2-HRSCAF-26:2500547	ScyDAA6-2-HRSCAF-26	2.500547	0.320279303
ScyDAA6-2-HRSCAF-26:2521542	ScyDAA6-2-HRSCAF-26	2.521542	0.322627867
ScyDAA6-2-HRSCAF-26:2541603	ScyDAA6-2-HRSCAF-26	2.541603	0.324875086
ScyDAA6-2-HRSCAF-26:2573798	ScyDAA6-2-HRSCAF-26	2.573798	0.342422999
ScyDAA6-2-HRSCAF-26:2594347	ScyDAA6-2-HRSCAF-26	2.594347	0.35312031
ScyDAA6-2-HRSCAF-26:2615519	ScyDAA6-2-HRSCAF-26	2.615519	0.355619059
ScyDAA6-2-HRSCAF-26:2635835	ScyDAA6-2-HRSCAF-26	2.635835	0.363335445
ScyDAA6-2-HRSCAF-26:2657848	ScyDAA6-2-HRSCAF-26	2.657848	0.371731281
ScyDAA6-2-HRSCAF-26:2679966	ScyDAA6-2-HRSCAF-26	2.679966	0.38372532
ScyDAA6-2-HRSCAF-26:2700027	ScyDAA6-2-HRSCAF-26	2.700027	0.393933516
ScyDAA6-2-HRSCAF-26:2720111	ScyDAA6-2-HRSCAF-26	2.720111	0.403371927
ScyDAA6-2-HRSCAF-26:2740714	ScyDAA6-2-HRSCAF-26	2.740714	0.411333232
ScyDAA6-2-HRSCAF-26:2761787	ScyDAA6-2-HRSCAF-26	2.761787	0.411589601
ScyDAA6-2-HRSCAF-26:2782240	ScyDAA6-2-HRSCAF-26	2.78224	0.403982206
ScyDAA6-2-HRSCAF-26:2807775	ScyDAA6-2-HRSCAF-26	2.807775	0.413591241
ScyDAA6-2-HRSCAF-26:2828030	ScyDAA6-2-HRSCAF-26	2.82803	0.421216661
ScyDAA6-2-HRSCAF-26:2848607	ScyDAA6-2-HRSCAF-26	2.848607	0.423843778
ScyDAA6-2-HRSCAF-26:2868725	ScyDAA6-2-HRSCAF-26	2.868725	0.423194092
ScyDAA6-2-HRSCAF-26:2890998	ScyDAA6-2-HRSCAF-26	2.890998	0.418730842
ScyDAA6-2-HRSCAF-26:2911211	ScyDAA6-2-HRSCAF-26	2.911211	0.426154423
ScyDAA6-2-HRSCAF-26:2939263	ScyDAA6-2-HRSCAF-26	2.939263	0.445159357
ScyDAA6-2-HRSCAF-26:2968498	ScyDAA6-2-HRSCAF-26	2.968498	0.46342792
ScyDAA6-2-HRSCAF-26:3035534	ScyDAA6-2-HRSCAF-26	3.035534	0.498007063
ScyDAA6-2-HRSCAF-26:3055699	ScyDAA6-2-HRSCAF-26	3.055699	0.505660525
ScyDAA6-2-HRSCAF-26:3076088	ScyDAA6-2-HRSCAF-26	3.076088	0.513367302
ScyDAA6-2-HRSCAF-26:3096692	ScyDAA6-2-HRSCAF-26	3.096692	0.516321698
ScyDAA6-2-HRSCAF-26:3116925	ScyDAA6-2-HRSCAF-26	3.116925	0.519226044
ScyDAA6-2-HRSCAF-26:3137146	ScyDAA6-2-HRSCAF-26	3.137146	0.522156809
ScyDAA6-2-HRSCAF-26:3158081	ScyDAA6-2-HRSCAF-26	3.158081	0.525194602
ScyDAA6-2-HRSCAF-26:3178716	ScyDAA6-2-HRSCAF-26	3.178716	0.528192273
ScyDAA6-2-HRSCAF-26:3201479	ScyDAA6-2-HRSCAF-26	3.201479	0.531502863
ScyDAA6-2-HRSCAF-26:3221641	ScyDAA6-2-HRSCAF-26	3.221641	0.534438389
ScyDAA6-2-HRSCAF-26:3241693	ScyDAA6-2-HRSCAF-26	3.241693	0.537360751
ScyDAA6-2-HRSCAF-26:3263706	ScyDAA6-2-HRSCAF-26	3.263706	0.540572105
ScyDAA6-2-HRSCAF-26:3285391	ScyDAA6-2-HRSCAF-26	3.285391	0.543738711
ScyDAA6-2-HRSCAF-26:3305609	ScyDAA6-2-HRSCAF-26	3.305609	0.546694155
ScyDAA6-2-HRSCAF-26:3325669	ScyDAA6-2-HRSCAF-26	3.325669	0.557110622
ScyDAA6-2-HRSCAF-26:3349943	ScyDAA6-2-HRSCAF-26	3.349943	0.511750953
ScyDAA6-2-HRSCAF-26:3370386	ScyDAA6-2-HRSCAF-26	3.370386	0.463955491
ScyDAA6-2-HRSCAF-26:3391319	ScyDAA6-2-HRSCAF-26	3.391319	0.466784267
ScyDAA6-2-HRSCAF-26:3411422	ScyDAA6-2-HRSCAF-26	3.411422	0.469506568
ScyDAA6-2-HRSCAF-26:3432352	ScyDAA6-2-HRSCAF-26	3.432352	0.472346796
ScyDAA6-2-HRSCAF-26:3453423	ScyDAA6-2-HRSCAF-26	3.453423	0.529796235
ScyDAA6-2-HRSCAF-26:3475668	ScyDAA6-2-HRSCAF-26	3.475668	0.579886935
ScyDAA6-2-HRSCAF-26:3497281	ScyDAA6-2-HRSCAF-26	3.497281	0.574666346
ScyDAA6-2-HRSCAF-26:3517307	ScyDAA6-2-HRSCAF-26	3.517307	0.57747035
ScyDAA6-2-HRSCAF-26:3538774	ScyDAA6-2-HRSCAF-26	3.538774	0.580473033
ScyDAA6-2-HRSCAF-26:3559632	ScyDAA6-2-HRSCAF-26	3.559632	0.583386844
ScyDAA6-2-HRSCAF-26:3581970	ScyDAA6-2-HRSCAF-26	3.58197	0.586503115
ScyDAA6-2-HRSCAF-26:3609298	ScyDAA6-2-HRSCAF-26	3.609298	0.590309123
ScyDAA6-2-HRSCAF-26:3629312	ScyDAA6-2-HRSCAF-26	3.629312	0.593091809
ScyDAA6-2-HRSCAF-26:3649627	ScyDAA6-2-HRSCAF-26	3.649627	0.595912489
ScyDAA6-2-HRSCAF-26:3670361	ScyDAA6-2-HRSCAF-26	3.670361	0.598786712
ScyDAA6-2-HRSCAF-26:3696243	ScyDAA6-2-HRSCAF-26	3.696243	0.602367702
ScyDAA6-2-HRSCAF-26:3719157	ScyDAA6-2-HRSCAF-26	3.719157	0.605531395
ScyDAA6-2-HRSCAF-26:3739626	ScyDAA6-2-HRSCAF-26	3.739626	0.608352003
ScyDAA6-2-HRSCAF-26:3759912	ScyDAA6-2-HRSCAF-26	3.759912	0.611142075
ScyDAA6-2-HRSCAF-26:3782585	ScyDAA6-2-HRSCAF-26	3.782585	0.614254474
ScyDAA6-2-HRSCAF-26:3804909	ScyDAA6-2-HRSCAF-26	3.804909	0.627518397
ScyDAA6-2-HRSCAF-26:3826928	ScyDAA6-2-HRSCAF-26	3.826928	0.640436909
ScyDAA6-2-HRSCAF-26:3850418	ScyDAA6-2-HRSCAF-26	3.850418	0.653940175
ScyDAA6-2-HRSCAF-26:3876090	ScyDAA6-2-HRSCAF-26	3.87609	0.668162894
ScyDAA6-2-HRSCAF-26:3896436	ScyDAA6-2-HRSCAF-26	3.896436	0.671669817
ScyDAA6-2-HRSCAF-26:3917629	ScyDAA6-2-HRSCAF-26	3.917629	0.736619095
ScyDAA6-2-HRSCAF-26:3938377	ScyDAA6-2-HRSCAF-26	3.938377	0.731890408
ScyDAA6-2-HRSCAF-26:3958722	ScyDAA6-2-HRSCAF-26	3.958722	0.620819081
ScyDAA6-2-HRSCAF-26:3981579	ScyDAA6-2-HRSCAF-26	3.981579	0.47279824
ScyDAA6-2-HRSCAF-26:4001845	ScyDAA6-2-HRSCAF-26	4.001845	0.455717615
ScyDAA6-2-HRSCAF-26:4023491	ScyDAA6-2-HRSCAF-26	4.023491	0.437627797
ScyDAA6-2-HRSCAF-26:4061169	ScyDAA6-2-HRSCAF-26	4.061169	0.406622788
ScyDAA6-2-HRSCAF-26:4082334	ScyDAA6-2-HRSCAF-26	4.082334	0.389516561
ScyDAA6-2-HRSCAF-26:4105308	ScyDAA6-2-HRSCAF-26	4.105308	0.410220237
ScyDAA6-2-HRSCAF-26:4135356	ScyDAA6-2-HRSCAF-26	4.135356	0.434725222
ScyDAA6-2-HRSCAF-26:4155388	ScyDAA6-2-HRSCAF-26	4.155388	0.448903024
ScyDAA6-2-HRSCAF-26:4175601	ScyDAA6-2-HRSCAF-26	4.175601	0.430430456
ScyDAA6-2-HRSCAF-26:4196439	ScyDAA6-2-HRSCAF-26	4.196439	0.411693396
ScyDAA6-2-HRSCAF-26:4216630	ScyDAA6-2-HRSCAF-26	4.21663	0.39386321
ScyDAA6-2-HRSCAF-26:4236823	ScyDAA6-2-HRSCAF-26	4.236823	0.376376335
ScyDAA6-2-HRSCAF-26:4257528	ScyDAA6-2-HRSCAF-26	4.257528	0.358829241
ScyDAA6-2-HRSCAF-26:4277785	ScyDAA6-2-HRSCAF-26	4.277785	0.342060411
ScyDAA6-2-HRSCAF-26:4298141	ScyDAA6-2-HRSCAF-26	4.298141	0.325627532
ScyDAA6-2-HRSCAF-26:4320143	ScyDAA6-2-HRSCAF-26	4.320143	0.287528283
ScyDAA6-2-HRSCAF-26:4340712	ScyDAA6-2-HRSCAF-26	4.340712	0.263444166
ScyDAA6-2-HRSCAF-26:4361554	ScyDAA6-2-HRSCAF-26	4.361554	0.23916443
ScyDAA6-2-HRSCAF-26:4381584	ScyDAA6-2-HRSCAF-26	4.381584	0.246097452
ScyDAA6-2-HRSCAF-26:4401630	ScyDAA6-2-HRSCAF-26	4.40163	0.257116324
ScyDAA6-2-HRSCAF-26:4422860	ScyDAA6-2-HRSCAF-26	4.42286	0.268925503
ScyDAA6-2-HRSCAF-26:4458069	ScyDAA6-2-HRSCAF-26	4.458069	0.288679864
ScyDAA6-2-HRSCAF-26:4478994	ScyDAA6-2-HRSCAF-26	4.478994	0.300433004
ScyDAA6-2-HRSCAF-26:4503416	ScyDAA6-2-HRSCAF-26	4.503416	0.321372297
ScyDAA6-2-HRSCAF-26:4523438	ScyDAA6-2-HRSCAF-26	4.523438	0.338780282
ScyDAA6-2-HRSCAF-26:4543744	ScyDAA6-2-HRSCAF-26	4.543744	0.345980916
ScyDAA6-2-HRSCAF-26:4566088	ScyDAA6-2-HRSCAF-26	4.566088	0.354013198
ScyDAA6-2-HRSCAF-26:4586362	ScyDAA6-2-HRSCAF-26	4.586362	0.361399261
ScyDAA6-2-HRSCAF-26:4606627	ScyDAA6-2-HRSCAF-26	4.606627	0.368873759
ScyDAA6-2-HRSCAF-26:4628107	ScyDAA6-2-HRSCAF-26	4.628107	0.377384953
ScyDAA6-2-HRSCAF-26:4648155	ScyDAA6-2-HRSCAF-26	4.648155	0.385428453
ScyDAA6-2-HRSCAF-26:4668566	ScyDAA6-2-HRSCAF-26	4.668566	0.393715052
ScyDAA6-2-HRSCAF-26:4689204	ScyDAA6-2-HRSCAF-26	4.689204	0.402192304
ScyDAA6-2-HRSCAF-26:4713352	ScyDAA6-2-HRSCAF-26	4.713352	0.41223498
ScyDAA6-2-HRSCAF-26:4736478	ScyDAA6-2-HRSCAF-26	4.736478	0.421975386
ScyDAA6-2-HRSCAF-26:4762165	ScyDAA6-2-HRSCAF-26	4.762165	0.432932409
ScyDAA6-2-HRSCAF-26:4783835	ScyDAA6-2-HRSCAF-26	4.783835	0.44228655
ScyDAA6-2-HRSCAF-26:4803891	ScyDAA6-2-HRSCAF-26	4.803891	0.451032348
ScyDAA6-2-HRSCAF-26:4840327	ScyDAA6-2-HRSCAF-26	4.840327	0.467132921
ScyDAA6-2-HRSCAF-26:4863799	ScyDAA6-2-HRSCAF-26	4.863799	0.477645999
ScyDAA6-2-HRSCAF-26:4884374	ScyDAA6-2-HRSCAF-26	4.884374	0.486261605
ScyDAA6-2-HRSCAF-26:4915194	ScyDAA6-2-HRSCAF-26	4.915194	0.499534087
ScyDAA6-2-HRSCAF-26:4936065	ScyDAA6-2-HRSCAF-26	4.936065	0.518491576
ScyDAA6-2-HRSCAF-26:4956131	ScyDAA6-2-HRSCAF-26	4.956131	0.527165209
ScyDAA6-2-HRSCAF-26:4976361	ScyDAA6-2-HRSCAF-26	4.976361	0.535975731
ScyDAA6-2-HRSCAF-26:4998791	ScyDAA6-2-HRSCAF-26	4.998791	0.545818938
ScyDAA6-2-HRSCAF-26:5019364	ScyDAA6-2-HRSCAF-26	5.019364	0.555134002
ScyDAA6-2-HRSCAF-26:5039700	ScyDAA6-2-HRSCAF-26	5.0397	0.562363714
ScyDAA6-2-HRSCAF-26:5067022	ScyDAA6-2-HRSCAF-26	5.067022	0.572138465
ScyDAA6-2-HRSCAF-26:5087182	ScyDAA6-2-HRSCAF-26	5.087182	0.579394802
ScyDAA6-2-HRSCAF-26:5110679	ScyDAA6-2-HRSCAF-26	5.110679	0.587897693
ScyDAA6-2-HRSCAF-26:5130885	ScyDAA6-2-HRSCAF-26	5.130885	0.59524756
ScyDAA6-2-HRSCAF-26:5151975	ScyDAA6-2-HRSCAF-26	5.151975	0.602955116
ScyDAA6-2-HRSCAF-26:5173807	ScyDAA6-2-HRSCAF-26	5.173807	0.610971421
ScyDAA6-2-HRSCAF-26:5198825	ScyDAA6-2-HRSCAF-26	5.198825	0.620202802
ScyDAA6-2-HRSCAF-26:5218877	ScyDAA6-2-HRSCAF-26	5.218877	0.627635311
ScyDAA6-2-HRSCAF-26:5243140	ScyDAA6-2-HRSCAF-26	5.24314	0.636666895
ScyDAA6-2-HRSCAF-26:5263999	ScyDAA6-2-HRSCAF-26	5.263999	0.644463458
ScyDAA6-2-HRSCAF-26:5284511	ScyDAA6-2-HRSCAF-26	5.284511	0.65215798
ScyDAA6-2-HRSCAF-26:5305245	ScyDAA6-2-HRSCAF-26	5.305245	0.659962446
ScyDAA6-2-HRSCAF-26:5325271	ScyDAA6-2-HRSCAF-26	5.325271	0.66752473
ScyDAA6-2-HRSCAF-26:5345532	ScyDAA6-2-HRSCAF-26	5.345532	0.675198934
ScyDAA6-2-HRSCAF-26:5365668	ScyDAA6-2-HRSCAF-26	5.365668	0.682847768
ScyDAA6-2-HRSCAF-26:5385959	ScyDAA6-2-HRSCAF-26	5.385959	0.681887035
ScyDAA6-2-HRSCAF-26:5407016	ScyDAA6-2-HRSCAF-26	5.407016	0.680890389
ScyDAA6-2-HRSCAF-26:5427670	ScyDAA6-2-HRSCAF-26	5.42767	0.679913506
ScyDAA6-2-HRSCAF-26:5449080	ScyDAA6-2-HRSCAF-26	5.44908	0.677085416
ScyDAA6-2-HRSCAF-26:5469844	ScyDAA6-2-HRSCAF-26	5.469844	0.674243231
ScyDAA6-2-HRSCAF-26:5492217	ScyDAA6-2-HRSCAF-26	5.492217	0.671072783
ScyDAA6-2-HRSCAF-26:5512352	ScyDAA6-2-HRSCAF-26	5.512352	0.668125056
ScyDAA6-2-HRSCAF-26:5536188	ScyDAA6-2-HRSCAF-26	5.536188	0.664521771
ScyDAA6-2-HRSCAF-26:5557667	ScyDAA6-2-HRSCAF-26	5.557667	0.661171008
ScyDAA6-2-HRSCAF-26:5577998	ScyDAA6-2-HRSCAF-26	5.577998	0.657910335
ScyDAA6-2-HRSCAF-26:5598166	ScyDAA6-2-HRSCAF-26	5.598166	0.654591955
ScyDAA6-2-HRSCAF-26:5619698	ScyDAA6-2-HRSCAF-26	5.619698	0.650958849
ScyDAA6-2-HRSCAF-26:5640195	ScyDAA6-2-HRSCAF-26	5.640195	0.647415633
ScyDAA6-2-HRSCAF-26:5661491	ScyDAA6-2-HRSCAF-26	5.661491	0.643648787
ScyDAA6-2-HRSCAF-26:5683075	ScyDAA6-2-HRSCAF-26	5.683075	0.639744297
ScyDAA6-2-HRSCAF-26:5703774	ScyDAA6-2-HRSCAF-26	5.703774	0.635918481
ScyDAA6-2-HRSCAF-26:5723916	ScyDAA6-2-HRSCAF-26	5.723916	0.595048853
ScyDAA6-2-HRSCAF-26:5744686	ScyDAA6-2-HRSCAF-26	5.744686	0.530231925
ScyDAA6-2-HRSCAF-26:5766098	ScyDAA6-2-HRSCAF-26	5.766098	0.514411732
ScyDAA6-2-HRSCAF-26:5791051	ScyDAA6-2-HRSCAF-26	5.791051	0.495463217
ScyDAA6-2-HRSCAF-26:5812527	ScyDAA6-2-HRSCAF-26	5.812527	0.478784917
ScyDAA6-2-HRSCAF-26:5832635	ScyDAA6-2-HRSCAF-26	5.832635	0.462922351
