chrom.marker,chr,marker,intercept,mixture_prop,geno1_pval,geno2_pval,t-value,likelihood-diff,num_ind
ScyDAA6.2.HRSCAF.26.482291,20.0,482291.0,1.6699999999999996e-102,0.7775365120000001,0.5876502889999999,0.67915516,0.41461053700000006,0.1842816,143
ScyDAA6.2.HRSCAF.26.502730,20.0,502730.0,1.6699999999999996e-102,0.7775365120000001,0.5876502889999999,0.67915516,0.41461053700000006,0.1842816,143
ScyDAA6.2.HRSCAF.26.523441,20.0,523441.0,1.6699999999999996e-102,0.7775365120000001,0.5876502889999999,0.67915516,0.41461053700000006,0.1842816,143
ScyDAA6.2.HRSCAF.26.543563,20.0,543563.0,1.6699999999999996e-102,0.7775365120000001,0.5876502889999999,0.67915516,0.41461053700000006,0.1842816,143
ScyDAA6.2.HRSCAF.26.563782,20.0,563782.0,2.0699999999999994e-101,0.806298518,0.62901633,0.725677556,0.351696564,0.14317354699999998,142
ScyDAA6.2.HRSCAF.26.583966,20.0,583966.0,2.0699999999999994e-101,0.806298518,0.62901633,0.725677556,0.351696564,0.14317354699999998,142
ScyDAA6.2.HRSCAF.26.604809,20.0,604809.0,2.0699999999999994e-101,0.806298518,0.62901633,0.725677556,0.351696564,0.14317354699999998,142
ScyDAA6.2.HRSCAF.26.625313,20.0,625313.0,2.0699999999999994e-101,0.806298518,0.62901633,0.725677556,0.351696564,0.14317354699999998,142
ScyDAA6.2.HRSCAF.26.645639,20.0,645639.0,2.0699999999999994e-101,0.806298518,0.62901633,0.725677556,0.351696564,0.14317354699999998,142
ScyDAA6.2.HRSCAF.26.665961,20.0,665961.0,2.0699999999999994e-101,0.806298518,0.62901633,0.725677556,0.351696564,0.14317354699999998,142
ScyDAA6.2.HRSCAF.26.686191,20.0,686191.0,2.0699999999999994e-101,0.806298518,0.62901633,0.725677556,0.351696564,0.14317354699999998,142
ScyDAA6.2.HRSCAF.26.706436,20.0,706436.0,2.0699999999999994e-101,0.806298518,0.62901633,0.725677556,0.351696564,0.14317354699999998,142
ScyDAA6.2.HRSCAF.26.726516,20.0,726516.0,2.0699999999999994e-101,0.806298518,0.62901633,0.725677556,0.351696564,0.14317354699999998,142
ScyDAA6.2.HRSCAF.26.746922,20.0,746922.0,2.0699999999999994e-101,0.806298518,0.62901633,0.725677556,0.351696564,0.14317354699999998,142
ScyDAA6.2.HRSCAF.26.767486,20.0,767486.0,2.0699999999999994e-101,0.806298518,0.62901633,0.725677556,0.351696564,0.14317354699999998,142
ScyDAA6.2.HRSCAF.26.788393,20.0,788393.0,1.6099999999999995e-102,0.753316575,0.654621129,0.714537112,0.366620596,0.129021053,143
ScyDAA6.2.HRSCAF.26.808704,20.0,808704.0,1.6099999999999995e-102,0.753316575,0.654621129,0.714537112,0.366620596,0.129021053,143
ScyDAA6.2.HRSCAF.26.828830,20.0,828830.0,1.6099999999999995e-102,0.753316575,0.654621129,0.714537112,0.366620596,0.129021053,143
ScyDAA6.2.HRSCAF.26.849789,20.0,849789.0,1.6099999999999995e-102,0.753316575,0.654621129,0.714537112,0.366620596,0.129021053,143
ScyDAA6.2.HRSCAF.26.869879,20.0,869879.0,1.6099999999999995e-102,0.753316575,0.654621129,0.714537112,0.366620596,0.129021053,143
ScyDAA6.2.HRSCAF.26.890716,20.0,890716.0,4.459999999999998e-102,0.8076053320000001,0.661957303,0.6063227729999999,0.516679786,0.175673894,142
ScyDAA6.2.HRSCAF.26.911446,20.0,911446.0,4.459999999999998e-102,0.8076053320000001,0.661957303,0.6063227729999999,0.516679786,0.175673894,142
ScyDAA6.2.HRSCAF.26.932817,20.0,932817.0,4.459999999999998e-102,0.8076053320000001,0.661957303,0.6063227729999999,0.516679786,0.175673894,142
ScyDAA6.2.HRSCAF.26.953132,20.0,953132.0,4.459999999999998e-102,0.8076053320000001,0.661957303,0.6063227729999999,0.516679786,0.175673894,142
ScyDAA6.2.HRSCAF.26.973283,20.0,973283.0,2.5299999999999995e-101,0.6547012320000001,0.750608209,0.579369884,0.555818336,0.181362258,141
ScyDAA6.2.HRSCAF.26.993563,20.0,993563.0,4.949999999999999e-100,0.76770535,0.677240252,0.540853769,0.613291928,0.225723115,140
ScyDAA6.2.HRSCAF.26.1013786,20.0,1013786.0,4.949999999999999e-100,0.76770535,0.677240252,0.540853769,0.613291928,0.225723115,140
ScyDAA6.2.HRSCAF.26.1034066,20.0,1034066.0,8.099999999999998e-101,0.92852198,0.590262437,0.564262396,0.578126008,0.23581407699999998,141
ScyDAA6.2.HRSCAF.26.1054440,20.0,1054440.0,2.0499999999999995e-101,0.875998851,0.683619235,0.6162624879999999,0.502452474,0.161965565,142
ScyDAA6.2.HRSCAF.26.1084693,20.0,1084693.0,2.0499999999999995e-101,0.875998851,0.683619235,0.6162624879999999,0.502452474,0.161965565,142
ScyDAA6.2.HRSCAF.26.1105813,20.0,1105813.0,2.0499999999999995e-101,0.875998851,0.683619235,0.6162624879999999,0.502452474,0.161965565,142
ScyDAA6.2.HRSCAF.26.1126297,20.0,1126297.0,2.0499999999999995e-101,0.875998851,0.683619235,0.6162624879999999,0.502452474,0.161965565,142
ScyDAA6.2.HRSCAF.26.1146454,20.0,1146454.0,2.0499999999999995e-101,0.875998851,0.683619235,0.6162624879999999,0.502452474,0.161965565,142
ScyDAA6.2.HRSCAF.26.1172898,20.0,1172898.0,2.0499999999999995e-101,0.875998851,0.683619235,0.6162624879999999,0.502452474,0.161965565,142
ScyDAA6.2.HRSCAF.26.1196134,20.0,1196134.0,2.0499999999999995e-101,0.875998851,0.683619235,0.6162624879999999,0.502452474,0.161965565,142
ScyDAA6.2.HRSCAF.26.1216277,20.0,1216277.0,2.0499999999999995e-101,0.875998851,0.683619235,0.6162624879999999,0.502452474,0.161965565,142
ScyDAA6.2.HRSCAF.26.1241467,20.0,1241467.0,2.0499999999999995e-101,0.875998851,0.683619235,0.6162624879999999,0.502452474,0.161965565,142
ScyDAA6.2.HRSCAF.26.1278493,20.0,1278493.0,2.0499999999999995e-101,0.875998851,0.683619235,0.6162624879999999,0.502452474,0.161965565,142
ScyDAA6.2.HRSCAF.26.1299375,20.0,1299375.0,2.1099999999999992e-100,0.8725564370000001,0.66669359,0.602130366,0.52272362,0.176576617,141
ScyDAA6.2.HRSCAF.26.1320092,20.0,1320092.0,2.1099999999999992e-100,0.8725564370000001,0.66669359,0.602130366,0.52272362,0.176576617,141
ScyDAA6.2.HRSCAF.26.1340392,20.0,1340392.0,2.1099999999999992e-100,0.8725564370000001,0.66669359,0.602130366,0.52272362,0.176576617,141
ScyDAA6.2.HRSCAF.26.1360923,20.0,1360923.0,2.1099999999999992e-100,0.8725564370000001,0.66669359,0.602130366,0.52272362,0.176576617,141
ScyDAA6.2.HRSCAF.26.1381592,20.0,1381592.0,2.1099999999999992e-100,0.8725564370000001,0.66669359,0.602130366,0.52272362,0.176576617,141
ScyDAA6.2.HRSCAF.26.1401968,20.0,1401968.0,2.1099999999999992e-100,0.8725564370000001,0.66669359,0.602130366,0.52272362,0.176576617,141
ScyDAA6.2.HRSCAF.26.1422225,20.0,1422225.0,1.3999999999999998e-99,0.8690728120000001,0.679209415,0.613299756,0.506704507,0.164630002,140
ScyDAA6.2.HRSCAF.26.1442334,20.0,1442334.0,1.3999999999999998e-99,0.8690728120000001,0.679209415,0.613299756,0.506704507,0.164630002,140
ScyDAA6.2.HRSCAF.26.1463042,20.0,1463042.0,7.939999999999998e-101,0.7866936940000001,0.645533805,0.59722958,0.529799844,0.18678085100000003,141
ScyDAA6.2.HRSCAF.26.1484560,20.0,1484560.0,6.44e-101,0.762199162,0.757316098,0.660195156,0.440729624,0.11693394800000001,142
ScyDAA6.2.HRSCAF.26.1504902,20.0,1504902.0,2.1099999999999997e-101,0.705279395,0.8159732820000001,0.635849949,0.474699304,0.13317665,143
ScyDAA6.2.HRSCAF.26.1525301,20.0,1525301.0,2.1099999999999997e-101,0.705279395,0.8159732820000001,0.635849949,0.474699304,0.13317665,143
ScyDAA6.2.HRSCAF.26.1546524,20.0,1546524.0,2.1099999999999997e-101,0.705279395,0.8159732820000001,0.635849949,0.474699304,0.13317665,143
ScyDAA6.2.HRSCAF.26.1569303,20.0,1569303.0,2.1099999999999997e-101,0.705279395,0.8159732820000001,0.635849949,0.474699304,0.13317665,143
ScyDAA6.2.HRSCAF.26.1589740,20.0,1589740.0,2.1099999999999997e-101,0.705279395,0.8159732820000001,0.635849949,0.474699304,0.13317665,143
ScyDAA6.2.HRSCAF.26.1610487,20.0,1610487.0,2.1099999999999997e-101,0.705279395,0.8159732820000001,0.635849949,0.474699304,0.13317665,143
ScyDAA6.2.HRSCAF.26.1631697,20.0,1631697.0,2.1099999999999997e-101,0.705279395,0.8159732820000001,0.635849949,0.474699304,0.13317665,143
ScyDAA6.2.HRSCAF.26.1652492,20.0,1652492.0,1.0999999999999998e-100,0.778106948,0.719596063,0.583763048,0.549371439,0.178578588,142
ScyDAA6.2.HRSCAF.26.1672562,20.0,1672562.0,2.1099999999999997e-101,0.705279395,0.8159732820000001,0.635849949,0.474699304,0.13317665,143
ScyDAA6.2.HRSCAF.26.1693353,20.0,1693353.0,2.1099999999999997e-101,0.705279395,0.8159732820000001,0.635849949,0.474699304,0.13317665,143
ScyDAA6.2.HRSCAF.26.1716006,20.0,1716006.0,2.1099999999999997e-101,0.705279395,0.8159732820000001,0.635849949,0.474699304,0.13317665,143
ScyDAA6.2.HRSCAF.26.1738484,20.0,1738484.0,1.7699999999999995e-100,0.65933733,0.7308661959999999,0.5934748000000001,0.5352275910000001,0.169140437,142
ScyDAA6.2.HRSCAF.26.1759035,20.0,1759035.0,1.8999999999999997e-101,0.726221447,0.6863491759999999,0.567725327,0.572961438,0.197263711,143
ScyDAA6.2.HRSCAF.26.1779712,20.0,1779712.0,1.7699999999999995e-100,0.65933733,0.7308661959999999,0.5934748000000001,0.5352275910000001,0.169140437,142
ScyDAA6.2.HRSCAF.26.1800177,20.0,1800177.0,2.1099999999999997e-101,0.705279395,0.8159732820000001,0.635849949,0.474699304,0.13317665,143
ScyDAA6.2.HRSCAF.26.1820382,20.0,1820382.0,2.1099999999999997e-101,0.705279395,0.8159732820000001,0.635849949,0.474699304,0.13317665,143
ScyDAA6.2.HRSCAF.26.1840561,20.0,1840561.0,2.1099999999999997e-101,0.705279395,0.8159732820000001,0.635849949,0.474699304,0.13317665,143
ScyDAA6.2.HRSCAF.26.1860635,20.0,1860635.0,1.4099999999999996e-104,0.8947521279999999,0.974922437,0.718811643,0.36088910799999996,0.12555244599999998,142
ScyDAA6.2.HRSCAF.26.1881037,20.0,1881037.0,1.4099999999999996e-104,0.8947521279999999,0.974922437,0.718811643,0.36088910799999996,0.12555244599999998,142
ScyDAA6.2.HRSCAF.26.1902968,20.0,1902968.0,1.4099999999999996e-104,0.8947521279999999,0.974922437,0.718811643,0.36088910799999996,0.12555244599999998,142
ScyDAA6.2.HRSCAF.26.1923031,20.0,1923031.0,1.2299999999999996e-103,0.867647615,0.9191513809999999,0.7265909559999999,0.35048268899999996,0.151110579,141
ScyDAA6.2.HRSCAF.26.1944972,20.0,1944972.0,1.2299999999999996e-103,0.867647615,0.9191513809999999,0.7265909559999999,0.35048268899999996,0.151110579,141
ScyDAA6.2.HRSCAF.26.1965346,20.0,1965346.0,1.2299999999999996e-103,0.867647615,0.9191513809999999,0.7265909559999999,0.35048268899999996,0.151110579,141
ScyDAA6.2.HRSCAF.26.1985524,20.0,1985524.0,1.2299999999999996e-103,0.867647615,0.9191513809999999,0.7265909559999999,0.35048268899999996,0.151110579,141
ScyDAA6.2.HRSCAF.26.2005974,20.0,2005974.0,1.2299999999999996e-103,0.867647615,0.9191513809999999,0.7265909559999999,0.35048268899999996,0.151110579,141
ScyDAA6.2.HRSCAF.26.2027150,20.0,2027150.0,1.2299999999999996e-103,0.867647615,0.9191513809999999,0.7265909559999999,0.35048268899999996,0.151110579,141
ScyDAA6.2.HRSCAF.26.2049679,20.0,2049679.0,6.52e-103,0.858284477,0.8823653229999999,0.7361961490000001,0.33768417,0.169675198,140
ScyDAA6.2.HRSCAF.26.2070634,20.0,2070634.0,5.189999999999999e-103,0.8628285290000001,0.832087453,0.653789205,0.44963829200000005,0.313690509,140
ScyDAA6.2.HRSCAF.26.2094140,20.0,2094140.0,5.189999999999999e-103,0.8628285290000001,0.832087453,0.653789205,0.44963829200000005,0.313690509,140
ScyDAA6.2.HRSCAF.26.2120044,20.0,2120044.0,4.099999999999999e-102,0.918187194,0.818308138,0.7427425129999999,0.328995194,0.2171467,139
ScyDAA6.2.HRSCAF.26.2141568,20.0,2141568.0,6.059999999999999e-104,0.890420575,0.888458739,0.6448765999999999,0.462057647,0.27091074600000004,141
ScyDAA6.2.HRSCAF.26.2163122,20.0,2163122.0,8.219999999999998e-103,0.922207489,0.849837195,0.724771507,0.35292169700000003,0.207272108,140
ScyDAA6.2.HRSCAF.26.2183375,20.0,2183375.0,1.0499999999999996e-102,0.861431646,0.915565521,0.723793438,0.35422998200000005,0.155780143,140
ScyDAA6.2.HRSCAF.26.2207345,20.0,2207345.0,1.2299999999999996e-103,0.867647615,0.9191513809999999,0.7265909559999999,0.35048268899999996,0.151110579,141
ScyDAA6.2.HRSCAF.26.2227554,20.0,2227554.0,1.2299999999999996e-103,0.867647615,0.9191513809999999,0.7265909559999999,0.35048268899999996,0.151110579,141
ScyDAA6.2.HRSCAF.26.2250730,20.0,2250730.0,1.2299999999999996e-103,0.867647615,0.9191513809999999,0.7265909559999999,0.35048268899999996,0.151110579,141
ScyDAA6.2.HRSCAF.26.2270770,20.0,2270770.0,6.289999999999998e-104,0.873556476,0.899105829,0.744895255,0.326128417,0.148581028,141
ScyDAA6.2.HRSCAF.26.2291155,20.0,2291155.0,6.289999999999998e-104,0.873556476,0.899105829,0.744895255,0.326128417,0.148581028,141
ScyDAA6.2.HRSCAF.26.2311213,20.0,2311213.0,6.289999999999998e-104,0.873556476,0.899105829,0.744895255,0.326128417,0.148581028,141
ScyDAA6.2.HRSCAF.26.2331251,20.0,2331251.0,9.92e-105,0.862920493,0.86045488,0.764590155,0.30013374800000003,0.15792761800000002,142
ScyDAA6.2.HRSCAF.26.2351304,20.0,2351304.0,9.92e-105,0.862920493,0.86045488,0.764590155,0.30013374800000003,0.15792761800000002,142
ScyDAA6.2.HRSCAF.26.2371586,20.0,2371586.0,5.329999999999999e-106,0.986757786,0.9667157259999999,0.7416337279999999,0.33044076899999997,0.110335714,143
ScyDAA6.2.HRSCAF.26.2398217,20.0,2398217.0,7.039999999999999e-103,0.667483404,0.5544361320000001,0.9853579290000001,-0.018389496,0.292803737,144
ScyDAA6.2.HRSCAF.26.2419163,20.0,2419163.0,7.039999999999999e-103,0.667483404,0.5544361320000001,0.9853579290000001,-0.018389496,0.292803737,144
ScyDAA6.2.HRSCAF.26.2439317,20.0,2439317.0,7.039999999999999e-103,0.667483404,0.5544361320000001,0.9853579290000001,-0.018389496,0.292803737,144
ScyDAA6.2.HRSCAF.26.2459734,20.0,2459734.0,4.549999999999999e-102,0.717025228,0.376471344,0.794986613,-0.260414617,0.512413726,142
ScyDAA6.2.HRSCAF.26.2480026,20.0,2480026.0,4.549999999999999e-102,0.717025228,0.376471344,0.794986613,-0.260414617,0.512413726,142
ScyDAA6.2.HRSCAF.26.2500547,20.0,2500547.0,6.229999999999999e-101,0.7047703679999999,0.374915857,0.8000567209999999,-0.253835933,0.518692735,141
ScyDAA6.2.HRSCAF.26.2521542,20.0,2521542.0,6.229999999999999e-101,0.7047703679999999,0.374915857,0.8000567209999999,-0.253835933,0.518692735,141
ScyDAA6.2.HRSCAF.26.2541603,20.0,2541603.0,4.86e-100,0.755334774,0.39103440799999994,0.912420915,-0.110219562,0.555506608,140
ScyDAA6.2.HRSCAF.26.2573798,20.0,2573798.0,1.3899999999999998e-99,0.69793886,0.372984023,0.7990803190000001,-0.255107667,0.522938996,140
ScyDAA6.2.HRSCAF.26.2594347,20.0,2594347.0,7.529999999999999e-101,0.694451067,0.370425816,0.7947012990000001,-0.260790217,0.526680139,141
ScyDAA6.2.HRSCAF.26.2615519,20.0,2615519.0,5.349999999999998e-100,0.711905638,0.39565666200000005,0.80248672,-0.25068922,0.472588789,140
ScyDAA6.2.HRSCAF.26.2635835,20.0,2635835.0,8.289999999999997e-100,0.843849244,0.36582073299999995,0.7657814009999999,-0.29857983899999996,0.526364385,140
ScyDAA6.2.HRSCAF.26.2657848,20.0,2657848.0,8.289999999999997e-100,0.843849244,0.36582073299999995,0.7657814009999999,-0.29857983899999996,0.526364385,140
ScyDAA6.2.HRSCAF.26.2679966,20.0,2679966.0,6.259999999999998e-99,0.841587337,0.370824989,0.792274843,-0.263955231,0.527234005,139
ScyDAA6.2.HRSCAF.26.2700027,20.0,2700027.0,6.259999999999998e-99,0.841587337,0.370824989,0.792274843,-0.263955231,0.527234005,139
ScyDAA6.2.HRSCAF.26.2720111,20.0,2720111.0,8.699999999999998e-102,0.836882543,0.34147013299999995,0.7767930470000001,-0.284134386,0.592395899,142
ScyDAA6.2.HRSCAF.26.2740714,20.0,2740714.0,8.699999999999998e-102,0.836882543,0.34147013299999995,0.7767930470000001,-0.284134386,0.592395899,142
ScyDAA6.2.HRSCAF.26.2761787,20.0,2761787.0,6.249999999999999e-101,0.837117727,0.347394821,0.7794927220000001,-0.280610044,0.579683059,141
ScyDAA6.2.HRSCAF.26.2782240,20.0,2782240.0,8.899999999999997e-102,0.84538353,0.35518323,0.7889862959999999,-0.268220536,0.562905255,142
ScyDAA6.2.HRSCAF.26.2807775,20.0,2807775.0,8.899999999999997e-102,0.84538353,0.35518323,0.7889862959999999,-0.268220536,0.562905255,142
ScyDAA6.2.HRSCAF.26.2828030,20.0,2828030.0,8.899999999999997e-102,0.84538353,0.35518323,0.7889862959999999,-0.268220536,0.562905255,142
ScyDAA6.2.HRSCAF.26.2848607,20.0,2848607.0,8.199999999999998e-100,0.80616952,0.291773754,0.6708745079999999,-0.426012912,0.6908708920000001,139
ScyDAA6.2.HRSCAF.26.2868725,20.0,2868725.0,3.279999999999999e-100,0.913163367,0.470422867,0.696438452,-0.391070705,0.308612581,141
ScyDAA6.2.HRSCAF.26.2890998,20.0,2890998.0,5.1399999999999994e-101,0.9156293759999999,0.47698175600000003,0.701494783,-0.384213233,0.299261863,142
ScyDAA6.2.HRSCAF.26.2911211,20.0,2911211.0,7.809999999999998e-102,0.918102566,0.468480864,0.7007140890000001,-0.38526213600000003,0.31118628600000003,143
ScyDAA6.2.HRSCAF.26.2939263,20.0,2939263.0,2.2799999999999995e-99,0.905248959,0.461493059,0.688540061,-0.401816169,0.321568505,140
ScyDAA6.2.HRSCAF.26.2968498,20.0,2968498.0,3.569999999999999e-100,0.907740579,0.467968324,0.693592139,-0.394934767,0.31202112600000004,141
ScyDAA6.2.HRSCAF.26.3035534,20.0,3035534.0,7.949999999999999e-102,0.9425484190000001,0.49475496399999996,0.730257437,-0.34557480700000004,0.276907736,143
ScyDAA6.2.HRSCAF.26.3055699,20.0,3055699.0,5.029999999999999e-101,0.907969832,0.46102010299999996,0.6897753259999999,-0.4001177,0.321451707,142
ScyDAA6.2.HRSCAF.26.3076088,20.0,3076088.0,6.679999999999999e-103,0.798121676,0.402751625,0.664057393,-0.435369319,0.413746678,144
ScyDAA6.2.HRSCAF.26.3096692,20.0,3096692.0,6.679999999999999e-103,0.798121676,0.402751625,0.664057393,-0.435369319,0.413746678,144
ScyDAA6.2.HRSCAF.26.3116925,20.0,3116925.0,8.679999999999998e-104,0.796631457,0.40029878399999996,0.662080119,-0.43809434,0.41791402299999997,145
ScyDAA6.2.HRSCAF.26.3137146,20.0,3137146.0,8.679999999999998e-104,0.796631457,0.40029878399999996,0.662080119,-0.43809434,0.41791402299999997,145
ScyDAA6.2.HRSCAF.26.3158081,20.0,3158081.0,8.679999999999998e-104,0.796631457,0.40029878399999996,0.662080119,-0.43809434,0.41791402299999997,145
ScyDAA6.2.HRSCAF.26.3178716,20.0,3178716.0,8.679999999999998e-104,0.796631457,0.40029878399999996,0.662080119,-0.43809434,0.41791402299999997,145
ScyDAA6.2.HRSCAF.26.3201479,20.0,3201479.0,4.869999999999999e-103,0.856478802,0.46823735299999997,0.710610939,-0.37189500799999997,0.311951928,144
ScyDAA6.2.HRSCAF.26.3221641,20.0,3221641.0,8.679999999999998e-104,0.796631457,0.40029878399999996,0.662080119,-0.43809434,0.41791402299999997,145
ScyDAA6.2.HRSCAF.26.3241693,20.0,3241693.0,8.319999999999999e-103,0.740505245,0.416452589,0.6731982,-0.422774214,0.390604391,144
ScyDAA6.2.HRSCAF.26.3263706,20.0,3263706.0,8.679999999999998e-104,0.796631457,0.40029878399999996,0.662080119,-0.43809434,0.41791402299999997,145
ScyDAA6.2.HRSCAF.26.3285391,20.0,3285391.0,8.679999999999998e-104,0.796631457,0.40029878399999996,0.662080119,-0.43809434,0.41791402299999997,145
ScyDAA6.2.HRSCAF.26.3305609,20.0,3305609.0,8.679999999999998e-104,0.796631457,0.40029878399999996,0.662080119,-0.43809434,0.41791402299999997,145
ScyDAA6.2.HRSCAF.26.3325669,20.0,3325669.0,1.2099999999999998e-102,0.7857260490000001,0.39951129799999996,0.667085091,-0.43118985200000004,0.420428664,144
ScyDAA6.2.HRSCAF.26.3349943,20.0,3349943.0,3.529999999999999e-101,0.7989724779999999,0.513563642,0.7397888229999999,-0.332896072,0.254272359,142
ScyDAA6.2.HRSCAF.26.3370386,20.0,3370386.0,6.11e-103,0.766199175,0.52415787,0.7104408059999999,-0.37212410100000004,0.238564324,144
ScyDAA6.2.HRSCAF.26.3391319,20.0,3391319.0,6.11e-103,0.766199175,0.52415787,0.7104408059999999,-0.37212410100000004,0.238564324,144
ScyDAA6.2.HRSCAF.26.3411422,20.0,3411422.0,6.11e-103,0.766199175,0.52415787,0.7104408059999999,-0.37212410100000004,0.238564324,144
ScyDAA6.2.HRSCAF.26.3432352,20.0,3432352.0,6.11e-103,0.766199175,0.52415787,0.7104408059999999,-0.37212410100000004,0.238564324,144
ScyDAA6.2.HRSCAF.26.3453423,20.0,3453423.0,3.529999999999999e-101,0.7989724779999999,0.513563642,0.7397888229999999,-0.332896072,0.254272359,142
ScyDAA6.2.HRSCAF.26.3475668,20.0,3475668.0,1.2099999999999998e-102,0.7857260490000001,0.39951129799999996,0.667085091,-0.43118985200000004,0.420428664,144
ScyDAA6.2.HRSCAF.26.3497281,20.0,3497281.0,6.299999999999999e-103,0.79760355,0.40253964299999995,0.6636389220000001,-0.43594758200000006,0.414262478,144
ScyDAA6.2.HRSCAF.26.3517307,20.0,3517307.0,6.299999999999999e-103,0.79760355,0.40253964299999995,0.6636389220000001,-0.43594758200000006,0.414262478,144
ScyDAA6.2.HRSCAF.26.3538774,20.0,3538774.0,6.299999999999999e-103,0.79760355,0.40253964299999995,0.6636389220000001,-0.43594758200000006,0.414262478,144
ScyDAA6.2.HRSCAF.26.3559632,20.0,3559632.0,4.759999999999999e-102,0.8536956659999999,0.404270839,0.729356775,-0.34677633700000005,0.42555025399999996,143
ScyDAA6.2.HRSCAF.26.3581970,20.0,3581970.0,4.759999999999999e-102,0.8536956659999999,0.404270839,0.729356775,-0.34677633700000005,0.42555025399999996,143
ScyDAA6.2.HRSCAF.26.3609298,20.0,3609298.0,6.299999999999999e-103,0.79760355,0.40253964299999995,0.6636389220000001,-0.43594758200000006,0.414262478,144
ScyDAA6.2.HRSCAF.26.3629312,20.0,3629312.0,6.299999999999999e-103,0.79760355,0.40253964299999995,0.6636389220000001,-0.43594758200000006,0.414262478,144
ScyDAA6.2.HRSCAF.26.3649627,20.0,3649627.0,4.359999999999999e-102,0.7944288340000001,0.40063419200000006,0.659038357,-0.44232340600000003,0.41791409700000004,143
ScyDAA6.2.HRSCAF.26.3670361,20.0,3670361.0,4.359999999999999e-102,0.7944288340000001,0.40063419200000006,0.659038357,-0.44232340600000003,0.41791409700000004,143
ScyDAA6.2.HRSCAF.26.3696243,20.0,3696243.0,4.359999999999999e-102,0.7944288340000001,0.40063419200000006,0.659038357,-0.44232340600000003,0.41791409700000004,143
ScyDAA6.2.HRSCAF.26.3719157,20.0,3719157.0,4.359999999999999e-102,0.7944288340000001,0.40063419200000006,0.659038357,-0.44232340600000003,0.41791409700000004,143
ScyDAA6.2.HRSCAF.26.3739626,20.0,3739626.0,4.359999999999999e-102,0.7944288340000001,0.40063419200000006,0.659038357,-0.44232340600000003,0.41791409700000004,143
ScyDAA6.2.HRSCAF.26.3759912,20.0,3759912.0,4.359999999999999e-102,0.7944288340000001,0.40063419200000006,0.659038357,-0.44232340600000003,0.41791409700000004,143
ScyDAA6.2.HRSCAF.26.3782585,20.0,3782585.0,4.359999999999999e-102,0.7944288340000001,0.40063419200000006,0.659038357,-0.44232340600000003,0.41791409700000004,143
